Occupation,Detailed Work Activity,Code,Group
Speech-Language Pathologists,Present medical research reports.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Maintain medical or professional knowledge.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Supervise student research or internship work.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Supervise technical medical personnel.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,"Evaluate patient functioning, capabilities, or health.",29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Conduct research to increase knowledge about medical issues.,29-1127.00,Allied Health Professionals
Exercise Physiologists,Develop exercise or conditioning programs.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Treat medical emergencies.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Demonstrate activity techniques or equipment use.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Teach exercise or fitness techniques.,29-1128.00,Allied Health Professionals
Exercise Physiologists,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1128.00,Allied Health Professionals
Exercise Physiologists,Analyze quantitative data to determine effectiveness of treatments or therapies.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Prescribe treatments or therapies.,29-1128.00,Allied Health Professionals
Exercise Physiologists,"Monitor patient conditions during treatments, procedures, or activities.",29-1128.00,Allied Health Professionals
Exercise Physiologists,Explain medical procedures or test results to patients or family members.,29-1128.00,Allied Health Professionals
Exercise Physiologists,"Collect medical information from patients, family members, or other medical professionals.",29-1128.00,Allied Health Professionals
Exercise Physiologists,"Evaluate patient functioning, capabilities, or health.",29-1128.00,Allied Health Professionals
Exercise Physiologists,Teach health management classes.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Operate diagnostic or therapeutic medical instruments or equipment.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Test patient heart or lung functioning.,29-1128.00,Allied Health Professionals
Exercise Physiologists,"Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use.",29-1128.00,Allied Health Professionals
Exercise Physiologists,Evaluate employee performance.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Maintain medical equipment or instruments.,29-1128.00,Allied Health Professionals
Exercise Physiologists,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",29-1128.00,Allied Health Professionals
Exercise Physiologists,Measure the physical or physiological attributes of patients.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Train caregivers or other non-medical personnel.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Test biological specimens to gather information about patient conditions.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Communicate health and wellness information to the public.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Present medical research reports.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Order medical diagnostic or clinical tests.,29-1128.00,Allied Health Professionals
Exercise Physiologists,Conduct research to increase knowledge about medical issues.,29-1128.00,Allied Health Professionals
Art Therapists,Monitor patient progress or responses to treatments.,29-1129.01,Allied Health Professionals
Art Therapists,Record patient medical histories.,29-1129.01,Allied Health Professionals
Art Therapists,Develop treatment plans that use non-medical therapies.,29-1129.01,Allied Health Professionals
Art Therapists,Treat patients using psychological therapies.,29-1129.01,Allied Health Professionals
Art Therapists,Analyze patient data to determine patient needs or treatment goals.,29-1129.01,Allied Health Professionals
Art Therapists,Evaluate patient outcomes to determine effectiveness of treatments.,29-1129.01,Allied Health Professionals
Art Therapists,Collaborate with healthcare professionals to plan or provide treatment.,29-1129.01,Allied Health Professionals
Art Therapists,Interact with patients to build rapport or provide emotional support.,29-1129.01,Allied Health Professionals
Art Therapists,Prepare reports summarizing patient diagnostic or care activities.,29-1129.01,Allied Health Professionals
Art Therapists,Prepare medical supplies or equipment for use.,29-1129.01,Allied Health Professionals
Art Therapists,Select medical equipment for addressing patient needs.,29-1129.01,Allied Health Professionals
Art Therapists,Communicate test or assessment results to medical professionals.,29-1129.01,Allied Health Professionals
Art Therapists,Establish treatment goals.,29-1129.01,Allied Health Professionals
Art Therapists,Order medical supplies or equipment.,29-1129.01,Allied Health Professionals
Art Therapists,Supervise patient care personnel.,29-1129.01,Allied Health Professionals
Art Therapists,"Collect medical information from patients, family members, or other medical professionals.",29-1129.01,Allied Health Professionals
Art Therapists,Gather medical information from patient histories.,29-1129.01,Allied Health Professionals
Art Therapists,Analyze quantitative data to determine effectiveness of treatments or therapies.,29-1129.01,Allied Health Professionals
Art Therapists,Maintain medical or professional knowledge.,29-1129.01,Allied Health Professionals
Art Therapists,Communicate health and wellness information to the public.,29-1129.01,Allied Health Professionals
Art Therapists,Train caregivers or other non-medical personnel.,29-1129.01,Allied Health Professionals
Music Therapists,Treat patients using psychological therapies.,29-1129.02,Allied Health Professionals
Music Therapists,Develop treatment plans that use non-medical therapies.,29-1129.02,Allied Health Professionals
Music Therapists,Interact with patients to build rapport or provide emotional support.,29-1129.02,Allied Health Professionals
Music Therapists,Develop medical treatment plans.,29-1129.02,Allied Health Professionals
Music Therapists,Establish treatment goals.,29-1129.02,Allied Health Professionals
Music Therapists,Record patient medical histories.,29-1129.02,Allied Health Professionals
Music Therapists,Prepare reports summarizing patient diagnostic or care activities.,29-1129.02,Allied Health Professionals
Music Therapists,"Evaluate patient functioning, capabilities, or health.",29-1129.02,Allied Health Professionals
Music Therapists,Monitor patient progress or responses to treatments.,29-1129.02,Allied Health Professionals
Music Therapists,"Collect medical information from patients, family members, or other medical professionals.",29-1129.02,Allied Health Professionals
Music Therapists,Gather medical information from patient histories.,29-1129.02,Allied Health Professionals
Music Therapists,Maintain medical or professional knowledge.,29-1129.02,Allied Health Professionals
Music Therapists,Communicate test or assessment results to medical professionals.,29-1129.02,Allied Health Professionals
Music Therapists,Adjust tuning or functioning of musical instruments.,29-1129.02,Allied Health Professionals
Music Therapists,Collaborate with healthcare professionals to plan or provide treatment.,29-1129.02,Allied Health Professionals
Music Therapists,Treat medical emergencies.,29-1129.02,Allied Health Professionals
Music Therapists,Analyze patient data to determine patient needs or treatment goals.,29-1129.02,Allied Health Professionals
Music Therapists,Inform medical professionals regarding patient conditions and care.,29-1129.02,Allied Health Professionals
Music Therapists,Communicate health and wellness information to the public.,29-1129.02,Allied Health Professionals
Music Therapists,Analyze quantitative data to determine effectiveness of treatments or therapies.,29-1129.02,Allied Health Professionals
Music Therapists,Evaluate treatment options to guide medical decisions.,29-1129.02,Allied Health Professionals
Music Therapists,Supervise patient care personnel.,29-1129.02,Allied Health Professionals
Music Therapists,Develop health assessment methods or programs.,29-1129.02,Allied Health Professionals
Music Therapists,Conduct research to increase knowledge about medical issues.,29-1129.02,Allied Health Professionals
Veterinarians,Operate on patients to treat conditions.,29-1131.00,Allied Health Professionals
Veterinarians,Prescribe medications.,29-1131.00,Allied Health Professionals
Veterinarians,"Treat acute illnesses, infections, or injuries.",29-1131.00,Allied Health Professionals
Veterinarians,Immunize patients.,29-1131.00,Allied Health Professionals
Veterinarians,Examine patients to assess general physical condition.,29-1131.00,Allied Health Professionals
